"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Flash And The Pan","Lily","F","39","Koch","224.65261","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Waiting for a Train [Single Mix]","15"
"Washed Out","Tegan","F","3","Levine","168.6722","free","Portland-South Portland, ME","165","New Theory","80"
"Katy Perry","Aleena","F","3","Kirby","179.40853","paid","Waterloo-Cedar Falls, IA","157","I Kissed A Girl","44"
"AFI","Lily","F","40","Koch","198.97424","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Miss Murder","15"
"Drake / Kanye West / Lil Wayne / Eminem","Aleena","F","4","Kirby","357.66812","paid","Waterloo-Cedar Falls, IA","157","Forever","44"
"The Crests","Lily","F","41","Koch","182.88281","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","16 Candles","15"
"Nirvana","Lily","F","42","Koch","219.08853","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Come As You Are","15"
"Knights Of The Abyss","Aleena","F","5","Kirby","205.66159","paid","Waterloo-Cedar Falls, IA","157","Dragon Pie","44"
"Binary Star","Lily","F","43","Koch","300.19873","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Honest Expression","15"
"Nada Surf","Aleena","F","6","Kirby","181.08036","paid","Waterloo-Cedar Falls, IA","157","Whose Authority","44"
"Blank & Jones","Aleena","F","7","Kirby","310.15138","paid","Waterloo-Cedar Falls, IA","157","Beyond Time (Ambient Mix)","44"
"Carnifex","Lily","F","44","Koch","219.89832","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","By Darkness Enslaved","15"
"Bono / Secret Machines","Lily","F","45","Koch","285.43955","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","I Am The Walrus","15"
"Broadcast 2000","Aleena","F","8","Kirby","198.84363","paid","Waterloo-Cedar Falls, IA","157","The View","44"
"Pixies","Aleena","F","9","Kirby","229.3024","paid","Waterloo-Cedar Falls, IA","157","Where Is My Mind?","44"
"Kings Of Leon","Lily","F","46","Koch","242.99057","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Holy Roller Novocaine","15"
"Arctic Monkeys","Aleena","F","10","Kirby","221.85751","paid","Waterloo-Cedar Falls, IA","157","You Know I'm No Good","44"
"Alliance Ethnik","Lily","F","47","Koch","252.21179","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","ReprÃÂ©sente","15"
"Apocalyptica","Chloe","F","0","Cuevas","409.86077","free","San Francisco-Oakland-Hayward, CA","179","Coma","49"
"Big Tymers","Aleena","F","11","Kirby","256.15628","paid","Waterloo-Cedar Falls, IA","157","Lil Mama","44"
"Pat Green","Lily","F","48","Koch","295.33995","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Whiskey","15"
"Daughtry","Aleena","F","12","Kirby","249.91302","paid","Waterloo-Cedar Falls, IA","157","No Surprise","44"
"Air","Chloe","F","1","Cuevas","212.21832","free","San Francisco-Oakland-Hayward, CA","179","Playground Love","49"
"Sam Cooke","Lily","F","49","Koch","122.04363","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Ain't Misbehavin","15"
"Live","Aleena","F","13","Kirby","203.28444","paid","Waterloo-Cedar Falls, IA","157","Deep Enough","44"
"Everclear","Lily","F","50","Koch","222.61506","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Summerland","15"
"Alison Krauss / Union Station","Aleena","F","14","Kirby","129.67138","paid","Waterloo-Cedar Falls, IA","157","Down To The River To Pray","44"
"The All-American Rejects","Lily","F","51","Koch","239.22893","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Move Along","15"
"Covenant","Aleena","F","15","Kirby","300.19873","paid","Waterloo-Cedar Falls, IA","157","XRDS","44"
"You Me At Six","Aiden","M","0","Hess","191.13751","free","La Crosse-Onalaska, WI-MN","189","Liquid Confidence","86"
"Motion City Soundtrack","Lily","F","52","Koch","206.34077","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Everything Is Alright (Album Version)","15"
"FM Static","Lily","F","53","Koch","169.84771","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Something To Believe In","15"
"Dave Gahan","Lily","F","54","Koch","272.92689","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Kingdom","15"
"Metallica","Lily","F","55","Koch","319.73832","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Mama Said","15"
"Dr. Hook","Lily","F","56","Koch","229.77261","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Sylvia's Mother","15"
"Gotan Project","Lily","F","57","Koch","321.30567","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Diferente","15"
"Carrie Underwood","Lily","F","58","Koch","221.3873","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Play On","15"
"Ut","Lily","F","59","Koch","313.86077","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","I.D.","15"
"Lil Wayne / Eminem","Lily","F","60","Koch","229.58975","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Drop The World","15"
"Damage","Lily","F","61","Koch","263.18322","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","For Your Pleasure","15"
"Rionegro / SolimÃÂµes","Lily","F","62","Koch","280.92036","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","De SÃÂ£o Paulo ÃÂ BelÃÂ©m","15"
"Drive-By Truckers","Lily","F","63","Koch","246.22975","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Outfit","15"
"Tweet","Lily","F","64","Koch","256.39138","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Smoking Cigarettes (LP Version)","15"
"Ben Folds Five","Lily","F","65","Koch","207.882","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Steven's Last Night In Town","15"
"Glen Hansard","Lily","F","66","Koch","239.59465","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Lies","15"
"Chevelle","Adler","M","0","Barrera","389.85098","free","New York-Newark-Jersey City, NY-NJ-PA","174","Dos (LP Version)","100"
"Bill Withers","Lily","F","67","Koch","383.73832","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Make Love To Your Mind","15"
"Jorge Drexler","Adler","M","1","Barrera","272.14322","free","New York-Newark-Jersey City, NY-NJ-PA","174","Salvapantallas","100"
"Michael Bolton","Lily","F","68","Koch","255.65995","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","How Am I Supposed To Live Without You","15"
"The Mercury Program","Adler","M","2","Barrera","449.12281","free","New York-Newark-Jersey City, NY-NJ-PA","174","Marianas","100"
"Duran Duran","Lily","F","69","Koch","321.88036","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","The Seventh Stranger","15"
"Little Boots","Lily","F","70","Koch","195.94404","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Meddle","15"
"Johnossi","Lily","F","71","Koch","174.2624","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Glory Days To Come","15"
"BjÃÂ¶rk","Lily","F","72","Koch","348.57751","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Undo","15"
"Black Eyed Peas","Lily","F","73","Koch","226.37669","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Hey Mama","15"
"DecembeRadio","Lily","F","74","Koch","249.62567","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Find You Waiting","15"
"Bonobo","Lily","F","75","Koch","270.41914","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","1009","15"
"Five Iron Frenzy","Tegan","F","1","Levine","236.09424","free","Portland-South Portland, ME","194","Canada","80"
"Morcheeba","Tegan","F","2","Levine","347.71546","free","Portland-South Portland, ME","194","The Sea","80"
"The Avett Brothers","Tegan","F","3","Levine","307.9571","free","Portland-South Portland, ME","194","All My Mistakes (US4BW0700133)","80"
"Dave Darell","Aiden","M","0","Hess","217.33832","free","La Crosse-Onalaska, WI-MN","197","Children","86"
"Priestess","Ryan","M","1","Smith","190.45832","free","San Jose-Sunnyvale-Santa Clara, CA","183","Talk To Her","26"
"Arcade Fire","Ryan","M","2","Smith","169.19465","free","San Jose-Sunnyvale-Santa Clara, CA","183","I'm Sleeping In A Submarine","26"
"Daft Punk","Ryan","M","3","Smith","211.69587","free","San Jose-Sunnyvale-Santa Clara, CA","183","Crescendolls","26"
"Nickel Creek","Ryan","M","4","Smith","255.13751","free","San Jose-Sunnyvale-Santa Clara, CA","183","When In Rome","26"
"Squeeze","Ryan","M","5","Smith","229.56363","free","San Jose-Sunnyvale-Santa Clara, CA","183","Footprints","26"
"Creedence Clearwater Revival","Samuel","M","0","Gonzalez","175.80363","free","Houston-The Woodlands-Sugar Land, TX","60","Sweet Hitch-Hiker","61"
"Kierra Sheard","Samuel","M","1","Gonzalez","299.02322","free","Houston-The Woodlands-Sugar Land, TX","60","Love Like Crazy (Extended Mix)","61"
"Greg Laswell","Mohammad","M","1","Rodriguez","251.08853","free","Sacramento--Roseville--Arden-Arcade, CA","193","Comes And Goes ( In Waves )","88"
"Pavement","Mohammad","M","3","Rodriguez","99.16036","free","Sacramento--Roseville--Arden-Arcade, CA","193","Mercy:The Laundromat","88"
"Sixx A.M.","Mohammad","M","4","Rodriguez","280.58077","free","Sacramento--Roseville--Arden-Arcade, CA","193","Courtesy Call (Explicit)","88"
"Leonard Cohen","Mohammad","M","5","Rodriguez","267.67628","free","Sacramento--Roseville--Arden-Arcade, CA","193","I'm Your Man","88"
"The Tallest Man On Earth","Joseph","M","0","Gutierrez","203.62404","free","Columbia, SC","167","The Wild Hunt","75"
"My Chemical Romance","Joseph","M","1","Gutierrez","161.90649","free","Columbia, SC","167","Teenagers (Album Version)","75"
"Wendy Rene","Joseph","M","2","Gutierrez","182.46485","free","Columbia, SC","167","After Laughter (Comes Tears) (LP Version)","75"
"Jack Johnson / Paula Fuga","Joseph","M","3","Gutierrez","178.33751","free","Columbia, SC","167","Country Road","75"
"Tub Ring","Joseph","M","4","Gutierrez","233.69098","free","Columbia, SC","167","Invalid","75"
"No Doubt","Mohammad","M","0","Rodriguez","44.93016","free","Sacramento--Roseville--Arden-Arcade, CA","205","BND","88"
"Katy Perry","Mohammad","M","1","Rodriguez","179.40853","free","Sacramento--Roseville--Arden-Arcade, CA","205","I Kissed A Girl","88"
"Neutral Milk Hotel","Joseph","M","5","Gutierrez","248.37179","free","Columbia, SC","167","Ghost","75"
"Dwight Yoakam","Ava","F","0","Robinson","239.3073","free","New Haven-Milford, CT","156","You're The One","50"
"Ella Fitzgerald","Joseph","M","6","Gutierrez","427.15383","free","Columbia, SC","167","On Green Dolphin Street (Medley) (1999 Digital Remaster)","75"
"Tony Rohr","Ava","F","1","Robinson","403.09506","free","New Haven-Milford, CT","156","Van Comp","50"
"Braid","Joseph","M","7","Gutierrez","222.74567","free","Columbia, SC","167","Divers","75"
"Fourmost","Joseph","M","8","Gutierrez","113.6322","free","Columbia, SC","167","Hello Little Girl","75"
"Catupecu Machu","Joseph","M","9","Gutierrez","212.32281","free","Columbia, SC","167","Hormigas","75"
"Creed","Joseph","M","10","Gutierrez","329.87383","free","Columbia, SC","167","Weathered","75"
"Ennio Morricone","Joseph","M","11","Gutierrez","215.01342","free","Columbia, SC","167","Chi Mai (El Profesional)","75"
"Down To The Bone","Sylvie","F","0","Cruz","333.76608","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","182","Keep On Keepin' On","10"
"Three Drives","Sylvie","F","1","Cruz","411.6371","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","182","Greece 2000","10"
"Sebastien Tellier","Sylvie","F","2","Cruz","377.73016","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","182","Kilometer","10"
"Lonnie Gordon","Sylvie","F","3","Cruz","181.21098","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","182","Catch You Baby (Steve Pitron & Max Sanna Radio Edit)","10"
"Charttraxx Karaoke","Ava","F","0","Robinson","225.17506","free","New Haven-Milford, CT","207","Fireflies","50"
"Ska-P","Ava","F","1","Robinson","220.21179","free","New Haven-Milford, CT","207","NiÃÂ±o Soldado","50"
"Dwight Yoakam","Ava","F","2","Robinson","239.3073","free","New Haven-Milford, CT","207","You're The One","50"
"Radiohead","Ayleen","F","0","Wise","130.82077","free","Columbia, SC","70","Pop Is Dead","71"
"Scouting for Girls","Ayleen","F","1","Wise","201.1424","free","Columbia, SC","70","The Mountains Of Navaho","71"
"Alliance Ethnik","Ayleen","F","2","Wise","195.94404","free","Columbia, SC","70","SinceritÃÂ© Et Jalousie","71"
"OutKast","Ayleen","F","3","Wise","227.52608","free","Columbia, SC","70","Ova Da Wudz","71"
"Bloodhound Gang","Kaleb","M","0","Cook","260.20526","free","Yuba City, CA","53","Uhn Tiss Uhn Tiss Uhn Tiss","54"
"Rammstein","Isaac","M","0","Valdez","228.46649","free","Saginaw, MI","112","Adios","3"
"Gershon Kingsley","Isaac","M","1","Valdez","146.57261","free","Saginaw, MI","112","Pop Corn","3"
"The Rakes","Isaac","M","2","Valdez","150.59546","free","Saginaw, MI","112","Strasbourg","3"
"Des'ree","Kaylee","F","1","Summers","246.30812","free","Phoenix-Mesa-Scottsdale, AZ","139","You Gotta Be","8"
"Mr Oizo","Kaylee","F","3","Summers","144.03873","free","Phoenix-Mesa-Scottsdale, AZ","139","Flat 55","8"
"Tamba Trio","Kaylee","F","4","Summers","177.18812","free","Phoenix-Mesa-Scottsdale, AZ","139","Quem Quiser Encontrar O Amor","8"
"The Mars Volta","Kaylee","F","5","Summers","380.42077","free","Phoenix-Mesa-Scottsdale, AZ","139","Eriatarka","8"
"Infected Mushroom","Kaylee","F","6","Summers","440.2673","free","Phoenix-Mesa-Scottsdale, AZ","139","Becoming Insane","8"
"Blue October / Imogen Heap","Kaylee","F","7","Summers","241.3971","free","Phoenix-Mesa-Scottsdale, AZ","139","Congratulations","8"
"Girl Talk","Kaylee","F","8","Summers","160.15628","free","Phoenix-Mesa-Scottsdale, AZ","139","Once again","8"
"Black Eyed Peas","Sylvie","F","0","Cruz","214.93506","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","9","Pump It","10"
"Fall Out Boy","Ryan","M","1","Smith","200.72444","free","San Jose-Sunnyvale-Santa Clara, CA","169","Nobody Puts Baby In The Corner","26"
"M.I.A.","Ryan","M","2","Smith","233.7171","free","San Jose-Sunnyvale-Santa Clara, CA","169","Mango Pickle Down River (With The Wilcannia Mob)","26"
"Survivor","Jayden","M","0","Fox","245.36771","free","New Orleans-Metairie, LA","100","Eye Of The Tiger","101"
"Fu","Kevin","M","1","Arellano","280.05832","free","Harrisburg-Carlisle, PA","514","Ja I Ty","66"
"All Time Low","Maia","F","1","Burke","177.84118","free","Houston-The Woodlands-Sugar Land, TX","510","A Party Song (The Walk of Shame)","51"
"Nik & Jay","Wyatt","M","0","Scott","196.51873","free","Eureka-Arcata-Fortuna, CA","379","Pop-Pop!","9"
"Quad City DJ's","Chloe","F","0","Cuevas","451.44771","free","San Francisco-Oakland-Hayward, CA","506","C'mon N' Ride It (The Train) (LP Version)","49"
"Hoobastank","Noah","M","1","Chavez","232.17587","free","Ogden-Clearfield, UT","492","Born To Lead","94"
"Foo Fighters","Devin","M","0","Larson","271.38567","free","Tampa-St. Petersburg-Clearwater, FL","413","The Pretender","60"
"The Firesign Theatre","Devin","M","1","Larson","1087.18975","free","Tampa-St. Petersburg-Clearwater, FL","413","Side .002","60"
"Julian Lennon","Devin","M","2","Larson","210.46812","free","Tampa-St. Petersburg-Clearwater, FL","413","Too Late For Goodbyes","60"
"Kinky","Jayden","M","1","Graves","198.32118","paid","Marinette, WI-MI","442","Sister Twisted","25"
"The Early November","Jayden","M","2","Graves","250.04363","paid","Marinette, WI-MI","442","Ever So Sweet","25"
"Damien Rice","Jayden","M","3","Graves","191.39873","paid","Marinette, WI-MI","442","9 Crimes (Demo)","25"
"Jimi Hendrix","Jayden","M","4","Graves","296.88118","paid","Marinette, WI-MI","442","Crying Blue Rain","25"
"Cartola","Jayden","M","5","Graves","173.06077","paid","Marinette, WI-MI","442","Peito Vazio","25"
"Cat Stevens","Jayden","M","6","Graves","223.32036","paid","Marinette, WI-MI","442","Lady D'Arbanville","25"
"Dwight Yoakam","Jayden","M","7","Graves","239.3073","paid","Marinette, WI-MI","442","You're The One","25"
"Les MisÃÂ©rables - 10th Anniversary Concert","Jayden","M","8","Graves","109.73995","paid","Marinette, WI-MI","442","Do You Hear The People Sing?","25"
"America","Jayden","M","9","Graves","173.19138","paid","Marinette, WI-MI","442","Work To Do","25"
"Dio","Jayden","M","10","Graves","284.55138","paid","Marinette, WI-MI","442","When A Woman Cries","25"
"Dash Berlin","Jayden","M","12","Graves","470.5171","paid","Marinette, WI-MI","442","Till The Sky Falls Down","25"
"Brian Hyland","Jayden","M","13","Graves","160.13016","paid","Marinette, WI-MI","442","Sealed With A Kiss","25"
"The Black Keys","Jayden","M","14","Graves","162.55955","paid","Marinette, WI-MI","442","Your Touch","25"
"Queensryche","Jayden","M","15","Graves","199.78404","paid","Marinette, WI-MI","442","Circles (2007 Live At The Moore Theater in Seattle LP Version)","25"
"The Black Keys","Jayden","M","16","Graves","191.76444","paid","Marinette, WI-MI","442","Howlin For You","25"
"The Killers","Jayden","M","17","Graves","218.85342","paid","Marinette, WI-MI","442","This Is Your Life","25"
"Erasure","Jayden","M","18","Graves","584.25424","paid","Marinette, WI-MI","442","Fingers And Thumbs (Cold Summer's Day) (Sound Factory Remix)","25"
"Red Hot Chili Peppers","Jayden","M","19","Graves","334.65424","paid","Marinette, WI-MI","442","Snow [Hey Oh] (Album Version)","25"
"Balkan Beat Box","Jayden","M","20","Graves","352.60036","paid","Marinette, WI-MI","442","Bulgarian  Chicks","25"
"Fleet Foxes","Jayden","M","21","Graves","208.03873","paid","Marinette, WI-MI","442","Tiger Mountain Peasant Song","25"
"Damu The Fudgemunk","Jayden","M","22","Graves","76.66893","paid","Marinette, WI-MI","442","Man With Bindle [Pawt 1] (2004)","25"
"Harmonia","Stefany","F","0","White","655.77751","free","Lubbock, TX","380","Sehr kosmisch","83"
"Moloko","Jayden","M","23","Graves","593.3971","paid","Marinette, WI-MI","442","Over And Over","25"
"Richard Ashcroft","Stefany","F","1","White","236.35546","free","Lubbock, TX","380","Break The Night With Colour","83"
"Johnny Gill","Jayden","M","24","Graves","288.70485","paid","Marinette, WI-MI","442","Chemistry","25"
"Enya","Jayden","M","25","Graves","175.85587","paid","Marinette, WI-MI","442","The Sun In The Stream","25"
"Eminem","Jayden","M","26","Graves","250.8273","paid","Marinette, WI-MI","442","Mockingbird","25"
"Van Halen","Aleena","F","1","Kirby","311.61424","paid","Waterloo-Cedar Falls, IA","474","Love Walks In (Remastered Album Version)","44"
"BarlowGirl","Aleena","F","2","Kirby","274.1024","paid","Waterloo-Cedar Falls, IA","474","Never Alone (Acoustic Version)","44"
"Porcupine Tree","Aleena","F","3","Kirby","458.00444","paid","Waterloo-Cedar Falls, IA","474","Way Out of Here [Album Version]","44"
"Slash","Aleena","F","4","Kirby","278.49098","paid","Waterloo-Cedar Falls, IA","474","Beautiful Dangerous (featuring Fergie)","44"
"Lady GaGa","Aleena","F","5","Kirby","274.18077","paid","Waterloo-Cedar Falls, IA","474","Alejandro","44"
"Shout Out Louds","Kate","F","0","Harrell","231.96689","paid","Lansing-East Lansing, MI","508","Never Ever","97"
"Nick Jonas & The Administration","Aleena","F","6","Kirby","245.57669","paid","Waterloo-Cedar Falls, IA","474","Who I Am","44"
"Cibelle","Kate","F","1","Harrell","576.91383","paid","Lansing-East Lansing, MI","508","Pequenos Olhos","97"
"Joshua Radin","Aleena","F","7","Kirby","182.62159","paid","Waterloo-Cedar Falls, IA","474","The Fear You Won't Fall","44"
"Kings Of Leon","Aleena","F","8","Kirby","201.79546","paid","Waterloo-Cedar Falls, IA","474","Revelry","44"
"Spinal Tap","Aleena","F","9","Kirby","304.71791","paid","Waterloo-Cedar Falls, IA","474","Rock 'n' Roll Creation","44"
"Nine Inch Nails","Kate","F","2","Harrell","324.67546","paid","Lansing-East Lansing, MI","508","Beside You In Time","97"
"Aiden","Aleena","F","10","Kirby","238.65424","paid","Waterloo-Cedar Falls, IA","474","Breathless (Album Version)","44"
"Muse","Kate","F","3","Harrell","441.10322","paid","Lansing-East Lansing, MI","508","Citizen Erased","97"
"Wyclef Jean","Aleena","F","11","Kirby","319.97342","paid","Waterloo-Cedar Falls, IA","474","Something About Mary","44"
"Matthew Good","Aleena","F","12","Kirby","307.06893","paid","Waterloo-Cedar Falls, IA","474","She's In It for the Money","44"
"Luke Bryan","Kate","F","4","Harrell","238.28853","paid","Lansing-East Lansing, MI","508","Do I","97"
"Billy Currington","Kate","F","5","Harrell","223.7122","paid","Lansing-East Lansing, MI","508","Walk A Little Straighter","97"
